z, y, u_fluc, v_fluc, w_fluc
    0.003325,    0.000018,   57.761046,   -4.987045,   -7.513510
    0.003458,    0.000018, -138.775958,   -0.304812,    5.200305
    0.003591,    0.000018,  -38.565784,   -1.079402,  -19.632577
    0.003724,    0.000018,   88.948188,   -5.302888,  -29.362294
    0.003857,    0.000018,   66.780269,   -8.253570,   30.668696
    0.003990,    0.000018,  124.504939,  -11.796365,    6.103273
    0.000133,    0.000019,  -38.619694,   22.748894,  -16.463521
    0.000266,    0.000019,   47.472430,   -0.222517,  -60.651316
    0.000399,    0.000019,  115.182845,   -1.793690,  -24.064273
    0.000532,    0.000019,   29.755334,  -13.906287,    1.813447
    0.000665,    0.000019,   65.897413,    2.942148,   35.979778
    0.000798,    0.000019,  -82.233560,   23.341534,   -2.862366
    0.000931,    0.000019,  102.365084,    8.320962,   13.548291
    0.001064,    0.000019,   64.345142,    3.256546,   22.866191
    0.001197,    0.000019,   96.862319,    9.956165,   -7.089680
    0.001330,    0.000019,  117.486914,   13.714417,   22.845767
    0.001463,    0.000019,  -30.874263,    6.791944,    5.538036
    0.001596,    0.000019,   71.822374,    0.204245,  -18.517105
    0.001729,    0.000019,   52.967698,    5.019638,   -7.756546
    0.001862,    0.000019,    2.404470,  -12.193116,   -8.326032
    0.001995,    0.000019,    1.868764,   -6.635394,    7.042722
    0.002128,    0.000019, -105.391937,    6.064412,   41.865476
    0.002261,    0.000019,    8.745905,   -3.925516,  -48.181586
    0.002394,    0.000019,  -13.340720,   -1.446344,   -6.118333
    0.002527,    0.000019, -111.667399,   -4.193323,   27.405767
    0.002660,    0.000019,  -30.669411,  -10.481722,    6.201947
    0.002793,    0.000019,  -38.326482,   -9.446342,   25.262070
    0.002926,    0.000019,   45.792172,   -4.884997,    2.761597
    0.003059,    0.000019,   97.641996,   -3.417373,  -13.436090
    0.003192,    0.000019,   15.535581,    7.467131,   34.423145
    0.003325,    0.000019,   64.808967,   -2.966671,  -13.896334
    0.003458,    0.000019, -122.695470,   -3.599025,    6.717827
